iter	Passed	Remaining
0	2	2902
1	16	8016
2	17	5904
3	20	5167
4	23	4579
5	25	4192
6	27	3911
7	29	3651
8	31	3450
9	32	3256
10	35	3149
11	37	3048
12	38	2939
13	40	2850
14	42	2797
15	45	2805
16	47	2775
17	49	2717
18	51	2664
19	53	2607
20	55	2610
21	58	2580
22	59	2544
23	61	2505
24	63	2480
25	65	2460
26	70	2529
27	73	2542
28	75	2515
29	79	2576
30	92	2900
31	94	2870
32	96	2834
33	98	2798
34	100	2768
35	102	2738
36	104	2714
37	106	2694
38	108	2668
39	111	2683
40	114	2677
41	116	2659
42	118	2633
43	124	2702
44	127	2707
45	142	2956
46	149	3032
47	153	3042
48	162	3159
49	165	3148
50	169	3154
51	175	3194
52	179	3207
53	192	3379
54	198	3402
55	215	3631
56	218	3617
57	221	3601
58	224	3584
59	228	3575
60	231	3570
61	234	3551
62	237	3525
63	239	3506
64	243	3503
65	246	3488
66	249	3470
67	250	3435
68	253	3415
69	255	3399
70	259	3389
71	262	3378
72	266	3383
73	271	3394
74	275	3395
75	278	3382
76	280	3363
77	283	3351
78	286	3340
79	290	3341
80	293	3325
81	302	3388
82	305	3377
83	308	3368
84	310	3345
85	316	3359
86	317	3331
87	320	3317
88	321	3292
89	323	3271
90	324	3245
91	327	3228
92	329	3208
93	333	3210
94	335	3199
95	339	3196
96	341	3179
97	343	3157
98	344	3135
99	346	3117
100	347	3096
101	348	3071
102	350	3051
103	352	3033
104	353	3013
105	355	2995
106	356	2976
107	358	2956
108	359	2937
109	360	2918
110	362	2901
111	363	2885
112	365	2869
113	367	2853
114	368	2838
115	370	2820
116	371	2806
117	373	2791
118	374	2772
119	375	2756
120	377	2741
121	379	2728
122	380	2711
123	381	2697
124	383	2685
125	385	2671
126	386	2657
127	387	2641
128	389	2631
129	391	2618
130	392	2605
131	394	2592
132	395	2578
133	396	2564
134	399	2562
135	401	2553
136	403	2542
137	404	2528
138	406	2518
139	408	2509
140	413	2518
141	417	2520
142	418	2509
143	420	2499
144	421	2488
145	423	2477
146	424	2466
147	426	2456
148	428	2446
149	429	2436
150	431	2428
151	433	2418
152	435	2410
153	437	2404
154	440	2401
155	443	2402
156	446	2398
157	448	2391
158	450	2384
159	453	2380
160	462	2410
161	591	3057
162	592	3044
163	594	3031
164	597	3022
165	598	3009
166	602	3005
167	604	2991
168	606	2983
169	610	2979
170	612	2969
171	615	2963
172	617	2952
173	619	2940
174	621	2930
175	623	2920
176	627	2916
177	630	2912
178	634	2910
179	637	2902
180	638	2890
181	642	2887
182	645	2880
183	651	2890
184	654	2883
185	656	2875
186	660	2872
187	664	2869
188	667	2863
189	668	2851
190	670	2839
191	672	2828
192	674	2822
193	676	2811
194	678	2800
195	679	2788
196	683	2784
197	684	2773
198	686	2762
199	687	2751
200	689	2742
201	691	2731
202	692	2719
203	694	2709
204	695	2698
205	697	2687
206	698	2677
207	700	2668
208	702	2658
209	703	2648
210	705	2637
211	707	2631
212	710	2623
213	712	2615
214	713	2605
215	715	2596
216	717	2587
217	719	2579
218	721	2573
219	723	2564
220	724	2554
221	726	2545
222	728	2536
223	729	2527
224	731	2520
225	733	2512
226	735	2504
227	736	2495
228	738	2486
229	740	2478
230	741	2470
231	743	2461
232	746	2456
233	747	2448
234	749	2440
235	751	2431
236	752	2422
237	754	2414
238	755	2406
239	757	2399
240	758	2390
241	760	2382
242	762	2374
243	764	2368
244	765	2360
245	767	2352
246	769	2345
247	770	2337
248	772	2328
249	774	2322
250	776	2318
251	780	2317
252	783	2313
253	787	2313
254	791	2312
255	794	2308
256	797	2304
257	799	2299
258	802	2294
259	803	2288
260	805	2280
261	807	2273
262	809	2267
263	810	2260
264	812	2253
265	814	2247
266	816	2241
267	819	2239
268	822	2235
269	824	2230
270	827	2226
271	831	2225
272	834	2221
273	836	2216
274	839	2213
275	841	2207
276	846	2208
277	849	2205
278	852	2203
279	855	2199
280	859	2199
281	865	2204
282	868	2200
283	871	2196
284	877	2201
285	880	2197
286	884	2196
287	887	2193
288	891	2193
289	894	2189
290	896	2185
291	899	2180
292	903	2178
293	906	2175
294	908	2171
295	910	2166
296	913	2161
297	915	2157
298	919	2156
299	922	2151
300	924	2147
301	928	2145
302	937	2155
303	939	2151
304	942	2147
305	945	2144
306	949	2142
307	952	2139
308	954	2134
309	956	2129
310	958	2124
311	960	2118
312	963	2115
313	966	2111
314	970	2109
315	972	2105
316	975	2101
317	977	2095
318	979	2091
319	982	2088
320	984	2082
321	985	2075
322	990	2075
323	994	2074
324	999	2075
325	1005	2078
326	1007	2074
327	1010	2069
328	1012	2064
329	1014	2058
330	1018	2058
331	1023	2059
332	1028	2059
